"zip","population","city","county"
"49234",2580,"Clarklake","Jackson County"
"49648",2572,"Kewadin","Antrim County"
"48022",2527,"Emmett","St. Clair County"
"49272",2502,"Pleasant Lake","Jackson County"
"49030",2486,"Burr Oak","St. Joseph County"
"49325",2481,"Freeport","Barry County"
"49252",2475,"Litchfield","Hillsdale County"
"48822",2469,"Eagle","Clinton County"
"49011",2463,"Athens","Calhoun County"
"48740",2457,"Harrisville","Alcona County"
"48654",2446,"Rose City","Ogemaw County"
"49639",2442,"Hersey","Osceola County"
"49622",2439,"Central Lake","Antrim County"
"48819",2426,"Dansville","Ingham County"
"49766",2405,"Ossineke","Alpena County"
"49305",2397,"Barryton","Mecosta County"
"48818",2395,"Crystal","Montcalm County"
"48859",2395,"Mount Pleasant","Isabella County"
"48894",2386,"Westphalia","Clinton County"
"48417",2382,"Burt","Saginaw County"
"49340",2382,"Remus","Mecosta County"
"49095",2357,"Vandalia","Cass County"
"49446",2349,"New Era","Oceana County"
"49905",2349,"Atlantic Mine","Houghton County"
"49688",2331,"Tustin","Osceola County"
"48851",2307,"Lyons","Ionia County"
"48467",2286,"Port Austin","Huron County"
"49953",2274,"Ontonagon","Ontonagon County"
"48815",2254,"Clarksville","Ionia County"
"49339",2234,"Pierson","Montcalm County"
"48871",2232,"Perrinton","Gratiot County"
"49452",2231,"Rothbury","Oceana County"
"49616",2225,"Benzonia","Benzie County"
"48419",2196,"Carsonville","Sanilac County"
"49713",2178,"Boyne Falls","Charlevoix County"
