"zip","population","city","county"
"61550",18483,"Morton","Tazewell County"
"60436",18452,"Joliet","Will County"
"61104",18306,"Rockford","Winnebago County"
"60465",18278,"Palos Hills","Cook County"
"60131",18258,"Franklin Park","Cook County"
"61364",18245,"Streator","LaSalle County"
"62656",18216,"Lincoln","Logan County"
"60542",18105,"North Aurora","Kane County"
"60521",18102,"Hinsdale","DuPage County"
"62711",17759,"Springfield","Sangamon County"
"61455",17653,"Macomb","McDonough County"
"60304",17564,"Oak Park","Cook County"
"60084",17301,"Wauconda","Lake County"
"60403",17225,"Crest Hill","Will County"
"60455",17204,"Bridgeview","Cook County"
"62298",17192,"Waterloo","Monroe County"
"61102",16875,"Rockford","Winnebago County"
"60154",16694,"Westchester","Cook County"
"62208",16690,"Fairview Heights","St. Clair County"
"60503",16660,"Aurora","Will County"
"62249",16649,"Highland","Madison County"
"60478",16591,"Country Club Hills","Cook County"
"60192",16536,"Hoffman Estates","Cook County"
"62223",16534,"Belleville","St. Clair County"
"60546",16470,"Riverside","Cook County"
"60601",16398,"Chicago","Cook County"
"62568",16292,"Taylorville","Christian County"
"61520",16176,"Canton","Fulton County"
"62035",16172,"Godfrey","Madison County"
"61603",15789,"Peoria","Peoria County"
"60070",15721,"Prospect Heights","Cook County"
"60447",15662,"Minooka","Kendall County"
"60118",15623,"Dundee","Kane County"
"60433",15485,"Joliet","Will County"
"60417",15390,"Crete","Will County"
"60064",15380,"North Chicago","Lake County"
"62294",15289,"Troy","Madison County"
"62629",15245,"Chatham","Sangamon County"
"60429",15069,"Hazel Crest","Cook County"
"61114",15017,"Rockford","Winnebago County"
"62522",15010,"Decatur","Macon County"
"61068",14862,"Rochelle","Ogle County"
"60026",14743,"Glenview","Cook County"
"60457",14650,"Hickory Hills","Cook County"
"60445",14632,"Midlothian","Cook County"
"62236",14630,"Columbia","Monroe County"
"62034",14497,"Glen Carbon","Madison County"
"60555",14436,"Warrenville","DuPage County"
"60458",14360,"Justice","Cook County"
"61853",14288,"Mahomet","Champaign County"
"60415",14284,"Chicago Ridge","Cook County"
"62966",14198,"Murphysboro","Jackson County"
