"zip","population","city","county"
"34688",9074,"Tarpon Springs","Pinellas County"
"34607",9061,"Spring Hill","Hernando County"
"34602",9024,"Brooksville","Hernando County"
"33128",8989,"Miami","Miami-Dade County"
"33850",8876,"Lake Alfred","Polk County"
"32612",8795,"Gainesville","Alachua County"
"34614",8794,"Brooksville","Hernando County"
"33597",8759,"Webster","Sumter County"
"32550",8722,"Miramar Beach","Walton County"
"32234",8692,"Jacksonville","Duval County"
"33194",8617,"Miami","Miami-Dade County"
"32626",8552,"Chiefland","Levy County"
"32179",8523,"Ocklawaha","Marion County"
"34431",8448,"Dunnellon","Marion County"
"33841",8440,"Fort Meade","Polk County"
"32136",8349,"Flagler Beach","Flagler County"
"32204",8270,"Jacksonville","Duval County"
"32440",8239,"Graceville","Jackson County"
"32040",8235,"Glen Saint Mary","Baker County"
"34433",8128,"Dunnellon","Citrus County"
"32618",8111,"Archer","Alachua County"
"34291",8104,"North Port","Sarasota County"
"32052",8053,"Jasper","Hamilton County"
"32132",8012,"Edgewater","Volusia County"
"32112",8002,"Crescent City","Putnam County"
"34949",7993,"Fort Pierce","St. Lucie County"
"32124",7992,"Daytona Beach","Volusia County"
"33715",7876,"Saint Petersburg","Pinellas County"
"32465",7846,"Wewahitchka","Gulf County"
"34436",7846,"Floral City","Citrus County"
"32456",7775,"Port Saint Joe","Gulf County"
"33031",7692,"Homestead","Miami-Dade County"
"32064",7641,"Live Oak","Suwannee County"
"33548",7639,"Lutz","Hillsborough County"
"34242",7602,"Sarasota","Sarasota County"
"34229",7575,"Osprey","Sarasota County"
"32448",7561,"Marianna","Jackson County"
"32424",7516,"Blountstown","Calhoun County"
"34228",7479,"Longboat Key","Sarasota County"
"33767",7458,"Clearwater Beach","Pinellas County"
"33953",7347,"Port Charlotte","Charlotte County"
"34251",7324,"Myakka City","Manatee County"
"33920",7250,"Alva","Lee County"
"32531",7235,"Baker","Okaloosa County"
"32134",7076,"Fort McCoy","Marion County"
"32347",7052,"Perry","Taylor County"
"33476",6999,"Pahokee","Palm Beach County"
"33042",6990,"Summerland Key","Monroe County"
"34753",6985,"Mascotte","Lake County"
"32066",6875,"Mayo","Lafayette County"
"32603",6855,"Gainesville","Alachua County"
"33471",6759,"Moore Haven","Glades County"
"32266",6743,"Neptune Beach","Duval County"
"34981",6703,"Fort Pierce","St. Lucie County"
"33158",6536,"Miami","Miami-Dade County"
"32435",6525,"Defuniak Springs","Walton County"
"33620",6451,"Tampa","Hillsborough County"
"33957",6420,"Sanibel","Lee County"
"32730",6410,"Casselberry","Seminole County"
"32202",6393,"Jacksonville","Duval County"
"33834",6371,"Bowling Green","Hardee County"
"32008",6338,"Branford","Lafayette County"
"32666",6313,"Melrose","Putnam County"
"33876",6188,"Sebring","Highlands County"
"32466",6167,"Youngstown","Bay County"
"33576",6076,"San Antonio","Pasco County"
"32948",6032,"Fellsmere","Indian River County"
"32321",5995,"Bristol","Liberty County"
"34946",5825,"Fort Pierce","St. Lucie County"
"33070",5717,"Tavernier","Monroe County"
"34945",5608,"Fort Pierce","St. Lucie County"
"33538",5599,"Lake Panasoffkee","Sumter County"
"32130",5561,"De Leon Springs","Volusia County"
"32145",5553,"Hastings","St. Johns County"
"32565",5515,"Jay","Santa Rosa County"
"32535",5510,"Century","Escambia County"
"32460",5488,"Sneads","Jackson County"
"32113",5386,"Citra","Marion County"
"32621",5332,"Bronson","Levy County"
"34269",5274,"Arcadia","DeSoto County"
"32686",5273,"Reddick","Marion County"
"32087",5240,"Sanderson","Baker County"
"32628",5235,"Cross City","Dixie County"
"33838",5226,"Dundee","Polk County"
"32735",5190,"Grand Island","Lake County"
"32352",5143,"Quincy","Gadsden County"
"32668",5115,"Morriston","Levy County"
"32189",5108,"Satsuma","Putnam County"
"32732",5104,"Geneva","Seminole County"
"33762",5103,"Clearwater","Pinellas County"
"34484",5090,"Oxford","Sumter County"
"33493",5035,"South Bay","Palm Beach County"
"32508",5015,"Pensacola","Escambia County"
"32619",5004,"Bell","Gilchrist County"
"32180",5000,"Pierson","Volusia County"
"32324",4981,"Chattahoochee","Gadsden County"
"33785",4871,"Indian Rocks Beach","Pinellas County"
"32438",4858,"Fountain","Bay County"
"32567",4837,"Laurel Hill","Okaloosa County"
"32331",4830,"Greenville","Madison County"
"33890",4821,"Zolfo Springs","Hardee County"
"32033",4704,"Elkton","St. Johns County"
"34289",4692,"North Port","Sarasota County"
"32950",4666,"Malabar","Brevard County"
"34773",4647,"Saint Cloud","Osceola County"
"32058",4607,"Lawtey","Bradford County"
"33043",4547,"Big Pine Key","Monroe County"
"32617",4525,"Anthony","Marion County"
"32431",4515,"Cottondale","Jackson County"
"34734",4502,"Gotha","Orange County"
"32131",4381,"East Palatka","Putnam County"
"32667",4334,"Micanopy","Alachua County"
"32577",4313,"Molino","Escambia County"
"32322",4253,"Carrabelle","Franklin County"
"32455",4239,"Ponce De Leon","Walton County"
"33922",4235,"Bokeelia","Lee County"
"34756",4065,"Montverde","Lake County"
"32580",4038,"Valparaiso","Okaloosa County"
"32421",3929,"Altha","Calhoun County"
"34201",3912,"Bradenton","Manatee County"
"32502",3887,"Pensacola","Escambia County"
"34737",3862,"Howey In The Hills","Lake County"
"32542",3841,"Eglin Afb","Okaloosa County"
"32442",3795,"Grand Ridge","Jackson County"
"33965",3793,"Fort Myers","Lee County"
"34217",3719,"Bradenton Beach","Manatee County"
"32094",3718,"Wellborn","Suwannee County"
"32328",3716,"Eastpoint","Franklin County"
"32320",3707,"Apalachicola","Franklin County"
"32053",3706,"Jennings","Hamilton County"
"33839",3649,"Eagle Lake","Polk County"
"33036",3620,"Islamorada","Monroe County"
"32568",3610,"McDavid","Escambia County"
"32009",3582,"Bryceville","Nassau County"
"32744",3544,"Lake Helen","Volusia County"
"32343",3517,"Midway","Gadsden County"
"34449",3510,"Inglis","Levy County"
"32227",3497,"Jacksonville","Duval County"
"33956",3494,"Saint James City","Lee County"
"32464",3461,"Westville","Holmes County"
"32462",3417,"Vernon","Washington County"
"34705",3306,"Astatula","Lake County"
"32071",3219,"O'Brien","Suwannee County"
"32195",3183,"Weirsdale","Marion County"
"32181",3163,"Pomona Park","Putnam County"
"32767",3040,"Paisley","Lake County"
"32096",2875,"White Springs","Columbia County"
"32443",2850,"Greenwood","Jackson County"
"33306",2767,"Fort Lauderdale","Broward County"
"32420",2712,"Alford","Jackson County"
"33946",2704,"Placida","Charlotte County"
"32759",2683,"Oak Hill","Volusia County"
"32764",2642,"Osteen","Volusia County"
"32059",2641,"Lee","Madison County"
"32949",2609,"Grant","Brevard County"
"32461",2589,"Inlet Beach","Walton County"
"33514",2582,"Center Hill","Sumter County"
"33827",2513,"Babson Park","Polk County"
"32702",2490,"Altoona","Lake County"
"32798",2437,"Zellwood","Orange County"
"32445",2415,"Malone","Jackson County"
"32831",2414,"Orlando","Orange County"
"32083",2392,"Raiford","Union County"
"32564",2350,"Holt","Santa Rosa County"
"32346",2326,"Panacea","Wakulla County"
"32544",2315,"Hurlburt Field","Okaloosa County"
"33621",2309,"Tampa","Hillsborough County"
"32026",2269,"Raiford","Union County"
"32102",2224,"Astor","Lake County"
"32044",2026,"Hampton","Bradford County"
"32694",1992,"Waldo","Alachua County"
"33122",1873,"Miami","Miami-Dade County"
"32212",1872,"Jacksonville","Duval County"
"32062",1783,"McAlpin","Suwannee County"
"32190",1774,"Seville","Volusia County"
"32140",1727,"Florahome","Putnam County"
"32307",1713,"Tallahassee","Leon County"
"32622",1712,"Brooker","Bradford County"
"33574",1651,"Saint Leo","Pasco County"
"32625",1628,"Cedar Key","Levy County"
"32334",1611,"Hosford","Liberty County"
"32925",1606,"Patrick Afb","Brevard County"
"33786",1579,"Belleair Beach","Pinellas County"
"32350",1563,"Pinetta","Madison County"
"32306",1547,"Tallahassee","Leon County"
"32709",1545,"Christmas","Orange County"
"32358",1521,"Sopchoppy","Wakulla County"
"32147",1427,"Hollister","Putnam County"
"32336",1370,"Lamont","Taylor County"
"33585",1352,"Sumterville","Sumter County"
"34797",1304,"Yalaha","Lake County"
"32187",1221,"San Mateo","Putnam County"
"33857",1160,"Lorida","Highlands County"
"32511",1145,"Pensacola","Escambia County"
"32193",1122,"Welaka","Putnam County"
"32427",1111,"Caryville","Washington County"
"32332",1097,"Gretna","Gadsden County"
"34138",1061,"Chokoloskee","Collier County"
"32449",1037,"Wewahitchka","Calhoun County"
"32359",1007,"Steinhatchee","Dixie County"
"34681",994,"Crystal Beach","Pinellas County"
"33930",993,"Felda","Hendry County"
"33851",988,"Lake Hamilton","Polk County"
"34760",978,"Oakland","Orange County"
"34216",924,"Anna Maria","Manatee County"
"32157",876,"Lake Como","Putnam County"
"32423",872,"Bascom","Jackson County"
"33865",866,"Ona","Hardee County"
"32426",826,"Campbellton","Jackson County"
"33109",792,"Miami Beach","Miami-Dade County"
"32139",791,"Georgetown","Putnam County"
"33521",788,"Coleman","Sumter County"
"34739",782,"Kenansville","Osceola County"
"32330",757,"Greensboro","Gadsden County"
"32403",746,"Panama City","Bay County"
"32133",732,"Eastlake Weir","Marion County"
"32430",732,"Clarksville","Calhoun County"
"33921",726,"Boca Grande","Lee County"
"33849",713,"Kathleen","Polk County"
"34215",683,"Cortez","Manatee County"
"33051",650,"Key Colony Beach","Monroe County"
"34498",629,"Yankeetown","Levy County"
"32437",620,"Ebro","Washington County"
"33438",609,"Canal Point","Martin County"
"33960",581,"Venus","Highlands County"
"33858",573,"Loughman","Polk County"
